Baccalaureate Institution,Current Institution,Field of Study,Year,Status
furman university,emory university,Chemistry - Biophysical,2011,award
georgia institute of technology,georgia institute of technology,Engineering - Civil Engineering,2011,award
university of californiaberkeley,undecided,Life Sciences - Ecology,2011,award
university of california los angeles,harvard university,Social Sciences - Economics (except Business Administration),2011,award
university of washington,harvard university,Life Sciences - Neurosciences,2011,award
california institute of technology,undecided,Social Sciences - Economics (except Business Administration),2011,award
university of houston,university of houston,Physics and Astronomy - Condensed Matter Physics,2011,award
massachusetts institute of technology,university of san diego,Life Sciences - Neurosciences,2011,award
louisiana tech university,louisiana tech university,Engineering - Biomedical,2011,award
united states military academy,united states military academy,Engineering - Energy,2011,award
university of oklahoma,university of wisconsinmadison,Psychology - Social,2011,award
florida state university,undecided,Life Sciences - Environmental Sciences,2011,award
stanford university,university of cambridge,Life Sciences - Evolutionary Biology,2011,award
texas am university main campus,university of michigan  ann arbor,Psychology - Cognitive,2011,award
university of texas at austin,university of texas at austin,Engineering - Chemical Engineering,2011,award
rutgers university,california institute of technology,Life Sciences - Microbiology,2011,award
university of north georgia,university of north georgia,Life Sciences - Immunology,2011,award
university of kansas,university of kansas,Psychology - Social,2011,award
georgia institute of technology,stanford university,Engineering - Environmental,2011,award
university of california davis,university of california davis,Life Sciences - Genetics,2011,award
yale university,undecided,Life Sciences - Evolutionary Biology,2011,award
university of colorado at colorado springs,university of arizona,Social Sciences - Cultural Anthropology,2011,award
northwestern connecticut community college,undecided,Life Sciences - Zoology,2011,award
university of arizona,michigan state university,Social Sciences - Medical Anthropology,2011,award
san jose state university,san jose state university,Life Sciences - other (specify) - Toxicology,2011,award
university of illinois at chicago,university of california irvine,Chemistry - Organic,2011,award
case western reserve university,undecided,Engineering - Chemical Engineering,2011,award
bradford college,undecided,Life Sciences - Ecology,2011,award
wesleyan university,university of minnesota  twin cities,Life Sciences - Ecosystem Ecology,2011,award
university of california irvine,university of illinois at urbanachampaign,STEM Education and Learning Research - other (specify) - Sociology of Education,2011,award
university of puerto rico,new york university,Life Sciences - Neurosciences,2011,award
harvey mudd college,harvey mudd college,Engineering - Civil Engineering,2011,award
university of virginia main campus,undecided,Engineering - Biomedical,2011,award
pennsylvania state university,california institute of technology,Chemistry - Bio-inorganic,2011,award
university of west florida,university of west florida,Engineering - Bioengineering,2011,award
case western reserve university,case western reserve university,Engineering - Biomedical,2011,award
missouri university of science and technology,missouri university of science and technology,Engineering - Mechanical,2011,award
dartmouth college,university of illinois at chicago,Social Sciences - Economics (except Business Administration),2011,award
saint olaf college,university of minnesota  twin cities,Chemistry - Inorganic,2011,award
carnegie mellon university,state university of new york polytechnic institute,Engineering - Mechanical,2011,award
gannon university,purdue university northwest,Life Sciences - Botany (including Plant Physiology),2011,award
university of kansas,university of washington,Mathematical Sciences - Analysis,2011,award
case western reserve university,cornell university,Engineering - Chemical Engineering,2011,award
western state colorado university,princeton university,Engineering - Chemical Engineering,2011,award
iowa state university,undecided,Life Sciences - Pharmacology,2011,award
university of californiaberkeley,undecided,Psychology - Developmental,2011,award
university of california davis,university of californiasan diego scripps inst of oceanography,Life Sciences - Biological Oceanography,2011,award
carleton college,university of illinois at chicago,Social Sciences - Sociology  (except Social Work),2011,award
stanford university,washington university in st louis,Life Sciences - Immunology,2011,award
university of washington,university of washington,Engineering - Mechanical,2011,award
university of californiaberkeley,university of californiaberkeley,Engineering - Mechanical,2011,award
reed college,northwestern university,Physics and Astronomy - Astrophysics,2011,award
university of puerto rico,university of california los angeles,Life Sciences - Cell Biology,2011,award
college of saint benedict,university of minnesota  twin cities,Chemistry - Inorganic,2011,award
ohio university,university of californiaberkeley,Engineering - Electrical and Electronic,2011,award
john brown university,harvard university,Social Sciences - Sociology  (except Social Work),2011,award
university of texas at austin,university of texas at austin,"Comp/IS/Eng - Artificial Intelligence (including Robotics, Computer Vision and H",2011,award
arizona state university,cornell university,Engineering - Chemical Engineering,2011,award
ursinus college,university of north carolina at chapel hill,Life Sciences - Genetics,2011,award
transylvania university,purdue university northwest,Life Sciences - Animal Behavior,2011,award
massachusetts institute of technology,massachusetts institute of technology,STEM Education and Learning Research - Technology Education,2011,award
university of california davis,university of california los angeles,Chemistry - Organic,2011,award
university of california berkeley,university of california santa cruz,Physics and Astronomy - Astrophysics,2011,award
portland state university,university of washington,Comp/IS/Eng - Computer Science - Theoretical Foundations,2011,award
john brown university,john brown university,Geosciences - Geochemistry,2011,award
university of missouricolumbia,university of colorado at boulder,Engineering - Aeronautical and Aerospace,2011,award
university of idaho,california institute of technology,Chemistry - Physical,2011,award
texas womans university,purdue university northwest,STEM Education and Learning Research - Engineering Education,2011,award
university of rochester,university of rochester,Engineering - Engineering Mechanics,2011,award
michigan state university,michigan state university,Life Sciences - Zoology,2011,award
the college of new jersey,johns hopkins university applied physics laboratory,Engineering - Mechanical,2011,award
university of north carolina at chapel hill,university of north carolina at chapel hill,Mathematical Sciences - Applications of Mathematics (including Biometrics and Bi,2011,award
university of wisconsinmadison,undecided,Life Sciences - Animal Behavior,2011,award
clemson university,clemson university,Engineering - Bioengineering,2011,award
university of california davis,university of california santa cruz,Social Sciences - Cultural Anthropology,2011,award
california institute of technology,california institute of technology,Engineering - Chemical Engineering,2011,award
humboldt state university,humboldt state university,Life Sciences - Environmental Sciences,2011,award
harvard university,cornell university,Engineering - Biomedical,2011,award
chaminade university of honolulu,stanford university,Life Sciences - Marine Biology,2011,award
university of washington,university of michigan  ann arbor,Social Sciences - Linguistics,2011,award
emerson college,duke university,Life Sciences - Evolutionary Biology,2011,award
university of california davis,university of california san francisco,Chemistry - Bio-organic,2011,award
florida international university,university of california irvine,STEM Education and Learning Research - Mathematics Education,2011,award
west chester university of pennsylvania,university of virginia main campus,Engineering - Biomedical,2011,award
smith college,undecided,Psychology - Social,2011,award
university of california irvine,university of california san diego,Chemistry - Analytical,2011,award
university of west florida,university of nebraska omaha,Engineering - Civil Engineering,2011,award
university of rochester,rockefeller university,Life Sciences - Molecular Biology,2011,award
suny college at brockport,university of rochester,Chemistry - Physical,2011,award
purdue university northwest,harvard university,Mathematical Sciences - Probability and Statistics,2011,award
john brown university,undecided,Psychology - Cognitive Neuroscience,2011,award
northwestern university,northwestern university,Psychology - Cognitive Neuroscience,2011,award
hamilton college,johns hopkins university,Psychology - Cognitive Neuroscience,2011,award
university of washington,undecided,Geosciences - Marine Geology and Geophysics,2011,award
duke university,undecided,Social Sciences - Physical Anthropology,2011,award
georgia institute of technology,georgia institute of technology,Comp/IS/Eng - Information Security and Assurance,2011,award
harvard university,undecided,Chemistry - Theoretical,2011,award
university of nebraska omaha,undecided,Engineering - Environmental,2011,award
university of arizona,university of texas at dallas,Engineering - Electrical and Electronic,2011,award
ohio university,ohio university,Life Sciences - Biochemistry,2011,award
university of puerto rico,university of california berkeley,Engineering - Bioengineering,2011,award
university of puerto rico,university of puerto rico,Engineering - Electrical and Electronic,2011,award
pennsylvania state university  schuylkill campus,pennsylvania state university  schuylkill campus,Engineering - Chemical Engineering,2011,award
university of north carolina at chapel hill,university of north carolina at chapel hill,Comp/IS/Eng - Scientific Computing and Informatics,2011,award
university of maryland eastern shore,northwestern university,Chemistry - Environmental,2011,award
kansas state university,kansas state university,Engineering - Biomedical,2011,award
university of california riverside,university of california riverside,Engineering - Bioengineering,2011,award
stanford university,stanford university,Life Sciences - Cell Biology,2011,award
university of pittsburgh​titusville,university of pittsburgh​titusville,Life Sciences - Biochemistry,2011,award
harvey mudd college,undecided,STEM Education and Learning Research - Science Education,2011,award
michigan technological university,university of north georgia,Psychology - Cognitive Neuroscience,2011,award
university of wisconsinwhitewater,california state universityfullerton,Life Sciences - Fish and Wildlife,2011,award
university of maryland eastern shore,university of maryland eastern shore,Engineering - Mechanical,2011,award
university of michigan  ann arbor,university of minnesota  twin cities,Psychology - Perception and Psychophysics,2011,award
rutgers university,undecided,Life Sciences - Structural Biology,2011,award
university of california berkeley,california institute of technology,Geosciences - Geology,2011,award
ohio university,massachusetts institute of technology,Chemistry - Materials,2011,award
university of west florida,university of west florida,Engineering - Energy,2011,award
stanford university,stanford university,Mathematical Sciences - Probability and Statistics,2011,award
bowie state university,university of washington,Chemistry - Materials,2011,award
university of california san diego,ohio university,Psychology - other (specify) - Judgment and Decision Making,2011,award
ball state university,yale university,Life Sciences - Immunology,2011,award
university of rochester,west chester university of pennsylvania,Physics and Astronomy - Astrophysics,2011,award
tulane university,university of californiaberkeley,Social Sciences - Cultural Anthropology,2011,award
bryn mawr college,university of arizona,Physics and Astronomy - Astrophysics,2011,award
iowa state university,iowa state university,Engineering - Chemical Engineering,2011,award
montana state university  northern,montana state university  northern,Engineering - Chemical Engineering,2011,award
johns hopkins university applied physics laboratory,massachusetts institute of technology,Engineering - Bioengineering,2011,award
minnesota state university moorhead,university of north carolina at chapel hill,Chemistry - Analytical,2011,award
reed college,undecided,Life Sciences - Evolutionary Biology,2011,award
university of michigan  dearborn,university of michigan  dearborn,Engineering - Nuclear,2011,award
university of the district of columbia,university of maryland eastern shore,Physics and Astronomy - Physics of Fluids,2011,award
transylvania university,transylvania university,Life Sciences - Neurosciences,2011,award
university of southern maine,university of wisconsinmadison,Engineering - Chemical Engineering,2011,award
princeton university,princeton university,Comp/IS/Eng - Computer Science - Theoretical Foundations,2011,award
university of california davis,harvard university,Social Sciences - Public Policy,2011,award
california state universitylos angeles,university of wisconsinmadison,Life Sciences - Evolutionary Biology,2011,award
university of illinois at chicago,university of michigan  dearborn,Social Sciences - Political Science,2011,award
university of texas at san antonio,northwestern university,Engineering - Biomedical,2011,award
university of vermont,university of virginia main campus,Life Sciences - Ecosystem Ecology,2011,award
duke university,duke university,Engineering - Energy,2011,award
university of minnesota  twin cities,university of north carolina at chapel hill,Social Sciences - Sociology  (except Social Work),2011,award
case western reserve university,university of southern california,Engineering - Chemical Engineering,2011,award
university of north carolina at chapel hill,northwestern university,Engineering - Bioengineering,2011,award
yale university,rockefeller university,Life Sciences - Biochemistry,2011,award
richard bland college of the college of william and mary,university of texas at austin,Social Sciences - Geography,2011,award
emory university,scripps institution of oceanographyucsd,Social Sciences - Science Policy,2011,award
pennsylvania state university,suny at albany,Geosciences - Large-scale Dynamics Meteorology,2011,award
university of north texas health science center,pennsylvania state university,Social Sciences - Political Science,2011,award
northern arizona university,cornell university,Engineering - Mechanical,2011,award
university of texas at austin,undecided,Life Sciences - Zoology,2011,award
duke university,duke university,Engineering - Biomedical,2011,award
cornell university,california institute of technology,Life Sciences - Neurosciences,2011,award
university of southern maine,university of southern maine,Engineering - Mechanical,2011,award
university of maryland college park,undecided,Life Sciences - Entomology,2011,award
university of kentucky,university of kentucky,Engineering - Bioengineering,2011,award
amherst college,undecided,Social Sciences - Medical Anthropology,2011,award
university of north carolina at chapel hill,university of pittsburgh​titusville,Chemistry - Biophysical,2011,award
georgia institute of technology,university of california santa barbara,Engineering - Materials,2011,award
university of rochester,stanford university,Life Sciences - Cell Biology,2011,award
northwestern university,northwestern university,Engineering - Materials,2011,award
university of california santa cruz,university of californiaberkeley,Social Sciences - Geography,2011,award
university of texas at austin,princeton university,Chemistry - Organic,2011,award
university of california santa barbara,cuny graduate school university center,Social Sciences - Physical Anthropology,2011,award
massachusetts institute of technology,university of california berkeley,Comp/IS/Eng - other (specify) - Computational Biology,2011,award
university of connecticut,university of connecticut,Life Sciences - Biophysics,2011,award
seattle university,university of washington,Mathematical Sciences - Applications of Mathematics (including Biometrics and Bi,2011,award
texas am university main campus,university of texas at austin,Engineering - Mechanical,2011,award
harvard university,university of california davis,Life Sciences - Entomology,2011,award
national university,harvard university,Life Sciences - Molecular Biology,2011,award
university of washington,university of california berkeley,Comp/IS/Eng - Networks and Communications,2011,award
princeton university,yale university,Life Sciences - Genetics,2011,award
massachusetts institute of technology,university of washington,Physics and Astronomy - Astronomy,2011,award
massachusetts institute of technology,undecided,Life Sciences - Neurosciences,2011,award
university of arizona,university of arizona,Life Sciences - Biophysics,2011,award
university of illinois at urbanachampaign,university of illinois at urbanachampaign,Engineering - Electrical and Electronic,2011,award
western washington university,western washington university,Life Sciences - Neurosciences,2011,award
bard college,university of southern indiana,Life Sciences - Ecology,2011,award
colorado northwestern community college,colorado northwestern community college,Life Sciences - Ecology,2011,award
bowdoin college,undecided,Life Sciences - Neurosciences,2011,award
san jose state university,university of north carolina at chapel hill,Life Sciences - Molecular Biology,2011,award
university of arizona,undecided,"Mathematical Sciences - other (specify) - Applied Math, Statistical Physics",2011,award
brigham young university hawaii,west chester university of pennsylvania,Engineering - Bioengineering,2011,award
university of the district of columbia,undecided,Social Sciences - Economics (except Business Administration),2011,award
university of wyoming,university of wyoming,Life Sciences - Population and Community Ecology,2011,award
university of california san diego,university of california san diego,Geosciences - Paleontology,2011,award
university of california san diego,massachusetts institute of technology,Engineering - Biomedical,2011,award
cornell university,undecided,Comp/IS/Eng - Computer Science - Theoretical Foundations,2011,award
pennsylvania state university,syracuse university,Life Sciences - Ecology,2011,award
university of arizona,university of arizona,Physics and Astronomy - Astrophysics,2011,award
massachusetts institute of technology,university of californiaberkeley,Engineering - Energy,2011,award
northwestern university,northwestern university,Engineering - Biomedical,2011,award
williams college,williams college,Mathematical Sciences - Analysis,2011,award
university of texas at austin,university of texas at austin,Mathematical Sciences - Algebra or Number Theory,2011,award
university of richmond,tulane university,Psychology - Social,2011,award
california institute of technology,california institute of technology,Comp/IS/Eng - Networks and Communications,2011,award
rosehulman institute of technology,rosehulman institute of technology,Engineering - Civil Engineering,2011,award
rice university,university of colorado at boulder,Engineering - Chemical Engineering,2011,award
yale university,harvard university,Psychology - Developmental,2011,award
frostburg state university,temple university,Psychology - Cognitive Neuroscience,2011,award
wellesley college,massachusetts institute of technology,Life Sciences - Biological Oceanography,2011,award
syracuse university,tufts university,Psychology - Social,2011,award
seattle university,university of north carolina at chapel hill,Life Sciences - Structural Biology,2011,award
georgia institute of technology,georgia institute of technology,Engineering - Civil Engineering,2011,award
university of new hampshire durham,texas am university main campus,Life Sciences - Animal Behavior,2011,award
university of missouricolumbia,university of missouricolumbia,Life Sciences - Horticulture,2011,award
university of washington,university of michigan  dearborn,Geosciences - Paleontology,2011,award
stanford university,stanford university,Mathematical Sciences - Geometry,2011,award
university of arizona,massachusetts institute of technology,Life Sciences - Microbiology,2011,award
virginia state university,virginia state university,Engineering - Mechanical,2011,award
university of washington,university of washington,Life Sciences - Population and Community Ecology,2011,award
university of maryland baltimore county,brigham young university hawaii,"Comp/IS/Eng - Artificial Intelligence (including Robotics, Computer Vision and H",2011,award
princeton university,undecided,Life Sciences - Animal Behavior,2011,award
furman university,university of california los angeles,Chemistry - Organic,2011,award
university of maryland eastern shore,university of maryland eastern shore,Life Sciences - Neurosciences,2011,award
stanford university,stanford university,Life Sciences - Microbiology,2011,award
mississippi valley state university,mississippi valley state university,Engineering - Biomedical,2011,award
san jose state university,san jose state university,Life Sciences - Microbiology,2011,award
university of dayton,university of dayton,Engineering - Mechanical,2011,award
west chester university of pennsylvania,duke university,Life Sciences - Evolutionary Biology,2011,award
auburn university at montgomery,auburn university at montgomery,Engineering - Mechanical,2011,award
carnegie mellon university,stanford university,Engineering - Bioengineering,2011,award
uclahigher education research institute,undecided,Chemistry - Materials,2011,award
carnegie mellon university,carnegie mellon university,Engineering - Biomedical,2011,award
princeton university,princeton university,Engineering - Electrical and Electronic,2011,award
john brown university,john brown university,Engineering - Biomedical,2011,award
oberlin college,western state colorado university,Life Sciences - Ecology,2011,award
stanford university,university of california san francisco,Life Sciences - Molecular Biology,2011,award
california institute of technology,carnegie mellon university,"Comp/IS/Eng - Artificial Intelligence (including Robotics, Computer Vision and H",2011,award
wesleyan university,wesleyan university,Mathematical Sciences - Algebra or Number Theory,2011,award
hampton university,hampton university,Comp/IS/Eng - Human Computer Interaction,2011,award
university of tulsa,university of california santa barbara,Engineering - Electrical and Electronic,2011,award
cabrini college,university of california irvine,Life Sciences - Developmental Biology,2011,award
swarthmore college,university of the district of columbia,Life Sciences - Neurosciences,2011,award
harvard university,western washington university,Social Sciences - Archaeology,2011,award
swarthmore college,university of michigan  dearborn,Engineering - Environmental,2011,award
tufts university,massachusetts institute of technology,Geosciences - Hydrologic Sciences,2011,award
university of delaware,johns hopkins university applied physics laboratory,Psychology - Developmental,2011,award
georgia institute of technology,georgia institute of technology,Mathematical Sciences - Geometry,2011,award
bowie state university,massachusetts institute of technology,Chemistry - Organic,2011,award
west chester university of pennsylvania,west chester university of pennsylvania,Engineering - Mechanical,2011,award
massachusetts institute of technology,university of colorado at boulder,Geosciences - Geology,2011,award
university of california riverside,university of california riverside,Engineering - Mechanical,2011,award
yale university,undecided,Social Sciences - Economics (except Business Administration),2011,award
university of new hampshire durham,university of new hampshire durham,Physics and Astronomy - Astrophysics,2011,award
stanford university,university of californiaberkeley,Geosciences - Paleontology,2011,award
university of illinois at urbanachampaign,university of illinois at urbanachampaign,Life Sciences - Ecology,2011,award
university of arizona,university of illinois at urbanachampaign,Life Sciences - Animal Behavior,2011,award
carleton college,undecided,Life Sciences - Microbiology,2011,award
tufts university,university of california berkeley,Life Sciences - Plant Pathology,2011,award
university of washington,undecided,Life Sciences - Marine Biology,2011,award
seattle university,seattle university,Comp/IS/Eng - Scientific Computing and Informatics,2011,award
western washington university,undecided,Life Sciences - Computational Biology,2011,award
university of california santa barbara,undecided,Life Sciences - Marine Biology,2011,award
rice university,cornell university,Engineering - Biomedical,2011,award
villanova university,university of wisconsinmadison,Chemistry - Organic,2011,award
harvard college president  fellows of,undecided,Social Sciences - Sociology  (except Social Work),2011,award
university of texas at austin,undecided,Life Sciences - Evolutionary Biology,2011,award
western state colorado university,university of connecticut,Psychology - Social,2011,award
university of delaware,university of colorado at boulder,Engineering - Civil Engineering,2011,award
university of southern california,california institute of technology,Psychology - Perception and Psychophysics,2011,award
truman state university,university of illinois at urbanachampaign,Psychology - Cognitive,2011,award
university of massachusetts at amherst,university of colorado at boulder,Engineering - Chemical Engineering,2011,award
university of missouri  kansas city,university of washington,Engineering - Chemical Engineering,2011,award
university of notre dame,george washington university,Social Sciences - Economics (except Business Administration),2011,award
cornell university,west chester university of pennsylvania,Life Sciences - Ecosystem Ecology,2011,award
depauw university,university of california san francisco,Life Sciences - Immunology,2011,award
university of illinois at chicago,harvard university,Life Sciences - Evolutionary Biology,2011,award
sitting bull college,north dakota state university,Life Sciences - Zoology,2011,award
university of florida,university of florida,Life Sciences - Biochemistry,2011,award
university of north carolina at charlotte,university of north carolina at charlotte,Life Sciences - Molecular Biology,2011,award
california state universitylong beach,john brown university,Engineering - Biomedical,2011,award
swarthmore college,swarthmore college,Physics and Astronomy - other (specify) - Physics of Biological Systems,2011,award
northwestern university,northwestern university,Life Sciences - Biophysics,2011,award
western washington university,western washington university,Life Sciences - Ecology,2011,award
carleton college,undecided,Life Sciences - Immunology,2011,award
georgia institute of technology,georgia institute of technology,Engineering - Environmental,2011,award
gonzaga university,university of california san francisco,Life Sciences - Cell Biology,2011,award
the ohio state universitycete,undecided,Social Sciences - Medical Anthropology,2011,award
university of louisville,university of wisconsinmadison,Engineering - Biomedical,2011,award
university of southern california,university of southern california,Life Sciences - Neurosciences,2011,award
university of delaware,university of north georgia,Life Sciences - Biochemistry,2011,award
university of california los angeles,texas am university main campus,Physics and Astronomy - Particle Physics,2011,award
haverford college in pennsylvania,undecided,Geosciences - Chemical Oceanography,2011,award
barnard college,university of the district of columbia,Chemistry - Organic,2011,award
harvard college president  fellows of,harvard college president  fellows of,Life Sciences - Molecular Biology,2011,award
wellesley college,university of washington,Life Sciences - Genetics,2011,award
university of south carolina,university of south carolina,Engineering - Biomedical,2011,award
university of maryland college park,university of maryland college park,Mathematical Sciences - Applications of Mathematics (including Biometrics and Bi,2011,award
university of massachusetts at lowell,university of massachusetts at lowell,Engineering - Electrical and Electronic,2011,award
university of minnesota  twin cities,pennsylvania state university,Geosciences - other (specify) - Geosciences,2011,award
virginia state university,undecided,Social Sciences - Linguistic Anthropology,2011,award
harvard university,stanford university,Physics and Astronomy - Particle Physics,2011,award
state university of new york system,university of california berkeley,Social Sciences - Archaeology,2011,award
franklin w olin college of engineering,franklin w olin college of engineering,"Comp/IS/Eng - Artificial Intelligence (including Robotics, Computer Vision and H",2011,award
washington state university at vancouver,ohio university,Physics and Astronomy - Atomic and Molecular,2011,award
university of virginia main campus,university of the district of columbia,Social Sciences - Political Science,2011,award
macalester college,university of san diego,Life Sciences - Cell Biology,2011,award
california institute of technology,harvard university,Physics and Astronomy - Atomic and Molecular,2011,award
university of california davis,cornell university,Engineering - Chemical Engineering,2011,award
university of californiaberkeley,undecided,Life Sciences - Animal Behavior,2011,award
florida state university,georgia state university,Psychology - Cognitive,2011,award
clemson university,clemson university,Life Sciences - Biophysics,2011,award
ruhr university bochum,ruhr university bochum,Engineering - Electrical and Electronic,2011,award
northwestern university,northwestern university,Engineering - Materials,2011,award
university of california los angeles,university of california los angeles,Engineering - Bioengineering,2011,award
university of illinois at urbanachampaign,undecided,Life Sciences - Biophysics,2011,award
rice university,rice university,Engineering - Bioengineering,2011,award
university of california berkeley,university of california berkeley,Comp/IS/Eng - Graphics and Visualization,2011,award
rice university,rice university,Engineering - Civil Engineering,2011,award
university of illinois at chicago,university of illinois at chicago,Mathematical Sciences - Analysis,2011,award
brigham young university hawaii,university of california irvine,Chemistry - Organic,2011,award
university of maryland baltimore county,carnegie mellon university,Engineering - Computer Engineering,2011,award
massachusetts institute of technology,undecided,Social Sciences - Economics (except Business Administration),2011,award
washington  lee university,undecided,Social Sciences - Economics (except Business Administration),2011,award
carleton college,boston university,Social Sciences - Cultural Anthropology,2011,award
franklin w olin college of engineering,university of san diego,Engineering - Bioengineering,2011,award
st marys college of maryland,university of illinois at urbanachampaign,Mathematical Sciences - other (specify) - Combinatorics,2011,award
duke university,university of southern california,Life Sciences - Marine Biology,2011,award
kent state university,the ohio state universitycete,Physics and Astronomy - Condensed Matter Physics,2011,award
brigham young university hawaii,brigham young university hawaii,Engineering - Mechanical,2011,award
florida state university,undecided,Social Sciences - Economics (except Business Administration),2011,award
university of north carolina at chapel hill,columbia university,Geosciences - Geology,2011,award
university of the district of columbia,undecided,Life Sciences - Marine Biology,2011,award
arizona state university,arizona state university,Engineering - Biomedical,2011,award
yale university,cornell university,Social Sciences - Political Science,2011,award
duke university,stanford university,STEM Education and Learning Research - Engineering Education,2011,award
rensselaer polytechnic institute,university of california berkeley,Life Sciences - Molecular Biology,2011,award
university of maryland college park,university of wisconsinmadison,Chemistry - Materials,2011,award
rensselaer polytechnic institute,university of the district of columbia,Chemistry - Organic,2011,award
northwestern university,northwestern university,Chemistry - Organic,2011,award
rice university,rice university,Engineering - Bioengineering,2011,award
university of north carolina at chapel hill,undecided,Social Sciences - Economics (except Business Administration),2011,award
university of californiaberkeley,university of californiaberkeley,Engineering - Mechanical,2011,award
university of southern california,university of southern california,Physics and Astronomy - Theoretical Physics,2011,award
university of west florida,university of west florida,Life Sciences - Ecology,2011,award
university of texas at austin,university of texas at austin,Engineering - Chemical Engineering,2011,award
georgia institute of technology,georgia institute of technology,Physics and Astronomy - Condensed Matter Physics,2011,award
university of alabama at tuscaloosa,university of michigan  dearborn,Engineering - Industrial,2011,award
wellesley college,duke university,Psychology - other (specify) - Behavioral Neuroscience,2011,award
bryn mawr college,johns hopkins university,Physics and Astronomy - Astronomy,2011,award
stanford university,stanford university,Engineering - Materials,2011,award
university of california berkeley,university of california los angeles,Psychology - Social,2011,award
baylor university,baylor university,Engineering - Mechanical,2011,award
suny at albany,suny college of nanoscale science and engineering,Engineering - Bioengineering,2011,award
university of texas at dallas,university of north carolina at chapel hill,"Comp/IS/Eng - Artificial Intelligence (including Robotics, Computer Vision and H",2011,award
university of connecticut,university of south carolina,Life Sciences - Population and Community Ecology,2011,award
grinnell college,stanford university,Life Sciences - Molecular Biology,2011,award
pepperdine university,northwestern university,Chemistry - Bio-inorganic,2011,award
capital university,university of tennessee knoxville,Mathematical Sciences - Applications of Mathematics (including Biometrics and Bi,2011,award
iowa state university,iowa state university,Engineering - Biomedical,2011,award
princeton university,princeton university,"Comp/IS/Eng - Artificial Intelligence (including Robotics, Computer Vision and H",2011,award
university of wisconsinmadison,university of wisconsinmadison,Engineering - Bioengineering,2011,award
rensselaer polytechnic institute,university of san diego,Comp/IS/Eng - Computer Systems Design (including Signal Processing),2011,award
kansas state university,kansas state university,Life Sciences - Soil Science,2011,award
university of california berkeley,stanford university,Life Sciences - Molecular Biology,2011,award
franklin w olin college of engineering,undecided,Engineering - Mechanical,2011,award
colorado school of mines,university of washington,Life Sciences - Microbiology,2011,award
university of southern mississippi,university of southern mississippi,Chemistry - Materials,2011,award
university of california san diego,undecided,Comp/IS/Eng - Computer Systems Design (including Signal Processing),2011,award
clemson university,clemson university,Life Sciences - Ecology,2011,award
harvard college president  fellows of,harvard college president  fellows of,Mathematical Sciences - Geometry,2011,award
depauw university,university of california santa cruz,Social Sciences - Cultural Anthropology,2011,award
university of massachusetts boston,boston university,Life Sciences - Cell Biology,2011,award
princeton university,yale university,Social Sciences - Political Science,2011,award
cornell university,cornell university,Engineering - Environmental,2011,award
johns hopkins university applied physics laboratory,west chester university of pennsylvania,Engineering - Bioengineering,2011,award
franklin w olin college of engineering,university of colorado at boulder,STEM Education and Learning Research - Engineering Education,2011,award
john brown university,john brown university,Engineering - Biomedical,2011,award
massachusetts institute of technology,stanford university,STEM Education and Learning Research - Engineering Education,2011,award
university of california merced,university of california merced,Life Sciences - Biochemistry,2011,award
washington  lee university,university of illinois at chicago,Mathematical Sciences - Probability and Statistics,2011,award
pennsylvania state university,pennsylvania state university,Engineering - Environmental,2011,award
kansas state university,kansas state university,Engineering - Environmental,2011,award
university of florida,northwestern university,Engineering - Materials,2011,award
university of pittsburgh​titusville,western washington university,Social Sciences - Law and Social Science,2011,award
lake forest college,university of miami,Psychology - Social,2011,award
northern arizona university,undecided,Life Sciences - Ecology,2011,award
yale university,johns hopkins university applied physics laboratory,Engineering - Biomedical,2011,award
andrews university,university of california davis,Life Sciences - Ecology,2011,award
university of north georgia,university of north georgia,Social Sciences - Geography,2011,award
university of washington,university of colorado at boulder,Comp/IS/Eng - Computer Science - Languages and Systems,2011,award
william paterson university,john brown university,Life Sciences - Molecular Biology,2011,award
pennsylvania state university,pennsylvania state university,Geosciences - Hydrologic Sciences,2011,award
gettysburg college,university of north carolina at chapel hill,Life Sciences - Ecology,2011,award
john brown university,harvard university,Social Sciences - Physical Anthropology,2011,award
university of washington,undecided,Life Sciences - Neurosciences,2011,award
harvard university,harvard university,Mathematical Sciences - Algebra or Number Theory,2011,award
university of west florida,university of west florida,Engineering - Environmental,2011,award
california polytechnic state university san luis obispo,university of california los angeles,Chemistry - Theoretical,2011,award
university of west florida,university of california irvine,Social Sciences - Cultural Anthropology,2011,award
princeton university,stanford university,Mathematical Sciences - Operations Research,2011,award
calvin college,university of californiaberkeley,Chemistry - Inorganic,2011,award
university of florida,university of florida,Mathematical Sciences - Applications of Mathematics (including Biometrics and Bi,2011,award
seattle university,university of southern indiana,Psychology - Social,2011,award
virginia state university,university of oregon,Life Sciences - Ecology,2011,award
university of california santa barbara,stanford university,Life Sciences - other (specify) - Cancer Biology,2011,award
stetson university,stetson university,Life Sciences - Evolutionary Biology,2011,award
massachusetts institute of technology,university of utah,Life Sciences - Ecology,2011,award
carnegie mellon university,cambridge university,Chemistry - Materials,2011,award
evergreen state college,university of texas at austin,Social Sciences - Cultural Anthropology,2011,award
iowa state university,iowa state university,Engineering - Materials,2011,award
western washington university,west chester university of pennsylvania,Physics and Astronomy - Condensed Matter Physics,2011,award
university of florida,university of florida,Engineering - Aeronautical and Aerospace,2011,award
arizona state university,university of illinois at urbanachampaign,Life Sciences - Biophysics,2011,award
