Baccalaureate Institution,Current Institution,Field of Study,Year,Status
Bard College,Undecided,Life Sciences - Neurosciences,2011,mention
SUNY at Buffalo,SUNY at Buffalo,Engineering - Electrical and Electronic,2011,mention
University of Illinois at Urbana-Champaign,University of Illinois at Urbana-Champaign,Geosciences - Physical Meteorology,2011,mention
Williams College,Princeton University,Physics and Astronomy - Theoretical Physics,2011,mention
University of Pittsburgh,University of Pittsburgh,Engineering - Energy,2011,mention
University of Minnesota-Twin Cities,University of Minnesota-Twin Cities,Engineering - Materials,2011,mention
University of California-Los Angeles,University of California-Irvine,Life Sciences - Neurosciences,2011,mention
CORNELL UNIVERSITY,CORNELL UNIVERSITY,Engineering - Materials,2011,mention
University of Georgia,University of Georgia,Mathematical Sciences - Probability and Statistics,2011,mention
New York University,Massachusetts Institute of Technology,Engineering - Mechanical,2011,mention
Spelman College,University of Michigan,Psychology - Physiological,2011,mention
Georgia Institute of Technology,Northwestern University,Engineering - Materials,2011,mention
Catholic University of America,University of Pittsburgh,Engineering - Bioengineering,2011,mention
University of Washington,University of Washington,Comp/IS/Eng - Human Computer Interaction,2011,mention
University of Wisconsin-Madison,University of Wisconsin-Madison,Physics and Astronomy - Plasma,2011,mention
CUNY City College,CUNY City College,"Comp/IS/Eng - Artificial Intelligence (including Robotics, Computer Vision and H",2011,mention
Iowa State University,Undecided,Engineering - Civil Engineering,2011,mention
University of Texas at Austin,Northwestern University,Engineering - Biomedical,2011,mention
New College of Florida,Brown University,Life Sciences - Cell Biology,2011,mention
Massachusetts Institute of Technology,Massachusetts Institute of Technology,Mathematical Sciences - Applications of Mathematics (including Biometrics and Bi,2011,mention
Boston University,"University of California, Santa Barbara",Life Sciences - Environmental Sciences,2011,mention
University of Wisconsin-Madison,CORNELL UNIVERSITY,Engineering - Mechanical,2011,mention
Northwestern University,University of Washington,Engineering - Bioengineering,2011,mention
University of North Carolina at Charlotte,Texas A&M University Main Campus,Chemistry - Inorganic,2011,mention
UNIVERSITY OF CALIFORNIA BERKELEY,University of California-Los Angeles,Engineering - Aeronautical and Aerospace,2011,mention
Carleton College,University of Michigan,Social Sciences - Physical Anthropology,2011,mention
Kenyon College,Dartmouth College,Physics and Astronomy - Theoretical Physics,2011,mention
Brigham Young University,University of California-Irvine,Chemistry - Organic,2011,mention
University of Idaho,Cornell University,"Comp/IS/Eng - Artificial Intelligence (including Robotics, Computer Vision and H",2011,mention
University of Pennsylvania,Columbia University,Chemistry - Organic,2011,mention
Saint Olaf College,University of Wisconsin-Madison,Life Sciences - Biochemistry,2011,mention
Ohio University,Ohio University,Life Sciences - Botany (including Plant Physiology),2011,mention
Drew University,Brown University,Physics and Astronomy - Condensed Matter Physics,2011,mention
Florida Institute of Technology,Brown University,Life Sciences - Cell Biology,2011,mention
Massachusetts Institute of Technology,Massachusetts Institute of Technology,Engineering - Civil Engineering,2011,mention
University of North Dakota Main Campus,University of Colorado at Boulder,Engineering - Chemical Engineering,2011,mention
Clemson University,Clemson University,Engineering - Electrical and Electronic,2011,mention
University of North Florida,Boston University,Chemistry - Bio-inorganic,2011,mention
Wartburg College,University of Michigan Ann Arbor,"Comp/IS/Eng - Artificial Intelligence (including Robotics, Computer Vision and H",2011,mention
University of Virginia Main Campus,University of Colorado at Boulder,Engineering - Chemical Engineering,2011,mention
OHIO STATE UNIVERSITY,University of Wisconsin-Madison,Engineering - Mechanical,2011,mention
Bethel University,Bethel University,Physics and Astronomy - Optics,2011,mention
University of Minnesota-Twin Cities,University of Minnesota-Twin Cities,Life Sciences - Ecology,2011,mention
UNIVERSITY OF CALIFORNIA BERKELEY,Undecided,Mathematical Sciences - Applications of Mathematics (including Biometrics and Bi,2011,mention
University of Pennsylvania,Northwestern University,Psychology - Social,2011,mention
UNIVERSITY OF CALIFORNIA BERKELEY,Stanford University,Engineering - Environmental,2011,mention
Yeshiva University,University of Pennsylvania,Engineering - Bioengineering,2011,mention
Harvard University,California Institute of Technology,Chemistry - Bio-organic,2011,mention
Massachusetts Institute of Technology,Massachusetts Institute of Technology,Physics and Astronomy - Astronomy,2011,mention
Stanford University,University of Chicago,Life Sciences - Genetics,2011,mention
Arizona State University,Georgia Institute of Technology,Engineering - Mechanical,2011,mention
Texas State University - San Marcos,University of California-San Diego,Life Sciences - Biochemistry,2011,mention
University of Colorado at Boulder,University of Colorado at Boulder,Engineering - Civil Engineering,2011,mention
Skidmore College,Brown University,Geosciences - Paleontology,2011,mention
University of California-Santa Cruz,University of California-Berkeley,Life Sciences - Biochemistry,2011,mention
University of Minnesota-Twin Cities,University of Wisconsin-Madison,Life Sciences - Genetics,2011,mention
St Mary's College of Maryland,St Mary's College of Maryland,Mathematical Sciences - Analysis,2011,mention
University of Florida,Columbia University,Life Sciences - Animal Behavior,2011,mention
Harvey Mudd College,Harvey Mudd College,"Comp/IS/Eng - Artificial Intelligence (including Robotics, Computer Vision and H",2011,mention
DePauw University,Carnegie-Mellon University,Life Sciences - Biochemistry,2011,mention
UNIVERSITY OF MARYLAND,Massachusetts Institute of Technology,Engineering - Chemical Engineering,2011,mention
CORNELL UNIVERSITY,PRINCETON UNIVERSITY,Geosciences - Geochemistry,2011,mention
Macalester College,University of Montana,Life Sciences - Ecosystem Ecology,2011,mention
Barnard College,University of Southern California,Psychology - Developmental,2011,mention
Wheaton College,Purdue University,Life Sciences - Ecology,2011,mention
UNIVERSITY OF ILLINOIS,UNIVERSITY OF ILLINOIS,Life Sciences - Evolutionary Biology,2011,mention
Williams College,Stanford University,Life Sciences - Evolutionary Biology,2011,mention
University of Colorado at Boulder,University of Idaho,Life Sciences - Ecology,2011,mention
University of Maryland College Park,University of Maryland College Park,Physics and Astronomy - Atomic and Molecular,2011,mention
Brown University,Brown University,Mathematical Sciences - Geometry,2011,mention
Brown University,Massachusetts Institute of Technology,Life Sciences - Biochemistry,2011,mention
Purdue University,Purdue University,Comp/IS/Eng - Information Security and Assurance,2011,mention
University of Maryland College Park,University of California-Irvine,Life Sciences - Molecular Biology,2011,mention
Hamline University,Yale University,Life Sciences - Immunology,2011,mention
University of Virginia Main Campus,UNIVERSITY OF CALIFORNIA BERKELEY,Life Sciences - Biochemistry,2011,mention
University of Cincinnati Main Campus,University of Michigan,Engineering - Aeronautical and Aerospace,2011,mention
University of Chicago,University of Wisconsin-Madison,Life Sciences - Cell Biology,2011,mention
Colorado State University,Colorado State University,Geosciences - Aeronomy,2011,mention
University of Wisconsin-Madison,Vanderbilt University,Psychology - Cognitive Neuroscience,2011,mention
CORNELL UNIVERSITY,University of Michigan,Engineering - Mechanical,2011,mention
University of Arizona,Undecided,Life Sciences - Forestry,2011,mention
Saint Francis University,The Pennsylvania State University,Chemistry - Materials,2011,mention
University of Pennsylvania,University of Washington,Psychology - Social,2011,mention
Case Western Reserve University,University of Washington,Engineering - Bioengineering,2011,mention
Rensselaer Polytechnic Institute,STATE UNIV OF NY AT STONY BROOK,Chemistry - Biophysical,2011,mention
University of Texas at Austin,University of Colorado at Boulder,Geosciences - other (specify) - Ionospheric Science,2011,mention
Wittenberg University,Rice University,Chemistry - Physical,2011,mention
University of California-Santa Barbara,University of California-Santa Barbara,Comp/IS/Eng - Computer Science - Theoretical Foundations,2011,mention
University of Southern California,University of Southern California,Engineering - Civil Engineering,2011,mention
University of Illinois at Urbana-Champaign,University of Illinois at Urbana-Champaign,Social Sciences - Physical Anthropology,2011,mention
University of North Carolina at Chapel Hill,Undecided,Engineering - Materials,2011,mention
University of Arizona,Yale University,Life Sciences - Neurosciences,2011,mention
SUNY Purchase,SUNY Purchase,Chemistry - Physical,2011,mention
Texas A&M University Main Campus,Texas A&M University Main Campus,Engineering - Electrical and Electronic,2011,mention
University of North Carolina at Chapel Hill,University of California-Berkeley,Chemistry - other (specify) - Chemical Biology,2011,mention
Gallaudet University,University of Maryland College Park,Life Sciences - Biochemistry,2011,mention
University of Pittsburgh,University of Connecticut,Engineering - Chemical Engineering,2011,mention
University of California-Berkeley,University of Texas at Austin,Life Sciences - Developmental Biology,2011,mention
Texas A&M University Main Campus,Carnegie-Mellon University,Engineering - Chemical Engineering,2011,mention
Western State College of Colorado,University of Nevada Reno,Psychology - Cognitive,2011,mention
Valparaiso University,University of Wisconsin-Madison,Engineering - Biomedical,2011,mention
University of Akron,Colorado State University,Psychology - Social,2011,mention
GEORGE WASHINGTON UNIVERSITY,University of Chicago,Psychology - Cognitive,2011,mention
University of Chicago,University of Chicago,Mathematical Sciences - Algebra or Number Theory,2011,mention
Yale University,Massachusetts Institute of Technology,Life Sciences - Molecular Biology,2011,mention
Lehigh University,Undecided,Engineering - Environmental,2011,mention
Washington University,Stanford University School of Medicine,Life Sciences - Molecular Biology,2011,mention
University of Houston,University of California-Los Angeles,Engineering - Electrical and Electronic,2011,mention
JOHNS HOPKINS UNIVERSITY,UNIVERSITY OF CALIFORNIA BERKELEY,Engineering - Bioengineering,2011,mention
New York University,Columbia University,Mathematical Sciences - Algebra or Number Theory,2011,mention
University of Massachusetts Amherst,University of Massachusetts Amherst,"Comp/IS/Eng - Artificial Intelligence (including Robotics, Computer Vision and H",2011,mention
Duke University,Vanderbilt University,Psychology - Cognitive Neuroscience,2011,mention
Rose-Hulman Institute of Technology,Pennsylvania State Univ University Park,Engineering - Materials,2011,mention
California State Polytechnic University-Pomona,California State Polytechnic University-Pomona,Psychology - Social,2011,mention
Roanoke College,Michigan State University,Life Sciences - Plant Pathology,2011,mention
Pennsylvania State Univ University Park,Massachusetts Institute of Technology,Life Sciences - Neurosciences,2011,mention
University of Utah,Purdue University,Physics and Astronomy - Particle Physics,2011,mention
Massachusetts Institute of Technology,Columbia University,Mathematical Sciences - Algebra or Number Theory,2011,mention
Princeton University,Princeton University,Social Sciences - Economics (except Business Administration),2011,mention
Brown University,University of California-Berkeley,Mathematical Sciences - Logic or Foundations of Mathematics,2011,mention
UNIVERSITY OF NEBRASKA,University of Wisconsin-Madison,Physics and Astronomy - Particle Physics,2011,mention
Edinboro University of Pennsylvania,Michigan State University,Life Sciences - Ecology,2011,mention
University of Minnesota-Twin Cities,Michigan State University,Life Sciences - Animal Behavior,2011,mention
University of Delaware,University of Tennessee Knoxville,Life Sciences - Ecology,2011,mention
Georgia Institute of Technology,Georgia Institute of Technology,Engineering - Aeronautical and Aerospace,2011,mention
Rensselaer Polytechnic Institute,University of Maryland College Park,Engineering - Electrical and Electronic,2011,mention
Donetsk State University,University of Washington,"Comp/IS/Eng - Artificial Intelligence (including Robotics, Computer Vision and H",2011,mention
McGill University,McGill University,Comp/IS/Eng - Computer Science - Theoretical Foundations,2011,mention
Georgia Institute of Technology,Georgia Institute of Technology,Engineering - Mechanical,2011,mention
University of North Carolina at Chapel Hill,UNIVERSITY OF MICHIGAN,Psychology - Physiological,2011,mention
University of California-Los Angeles,University of California-San Francisco,Life Sciences - Cell Biology,2011,mention
Duke University,University of Pennsylvania,Social Sciences - History of Science,2011,mention
Stanford University,Undecided,Social Sciences - Economics (except Business Administration),2011,mention
University of Iowa,New York University,Social Sciences - Physical Anthropology,2011,mention
University of Massachusetts Amherst,University of Wisconsin-Madison,Engineering - Chemical Engineering,2011,mention
Rochester Institute of Tech,University of Tennessee Knoxville,Engineering - Mechanical,2011,mention
Stanford University,University of California-Santa Cruz,Life Sciences - Ecology,2011,mention
Colgate University,Iowa State University,Chemistry - Inorganic,2011,mention
California Institute of Technology,California Institute of Technology,Engineering - Chemical Engineering,2011,mention
University of Michigan,University of California-Berkeley,Engineering - Bioengineering,2011,mention
California State University-Long Beach,UNIVERSITY OF CALIFORNIA BERKELEY,Life Sciences - Computational Biology,2011,mention
University of North Carolina at Chapel Hill,University of North Carolina at Chapel Hill,Psychology - Quantitative,2011,mention
North Carolina State University,North Carolina State University,Life Sciences - Entomology,2011,mention
Canisius College,Clemson University,Life Sciences - Animal Behavior,2011,mention
University of California-Berkeley,Washington University,Social Sciences - Archaeology,2011,mention
Tufts University,Tufts University,Engineering - Mechanical,2011,mention
Lyndon State College,Dartmouth College,Life Sciences - Ecology,2011,mention
Western Michigan University,University of Wisconsin-Madison,Life Sciences - Biochemistry,2011,mention
University of Massachusetts Amherst,University of Massachusetts Amherst,Engineering - Mechanical,2011,mention
West Virginia University,Arizona State University,Life Sciences - Molecular Biology,2011,mention
Millikin University,University of California San Francisco,Life Sciences - Molecular Biology,2011,mention
Macalester College,Northwestern University,Chemistry - Organic,2011,mention
University of California-Berkeley,Columbia University,Life Sciences - Molecular Biology,2011,mention
UNIVERSITY OF CALIFORNIA BERKELEY,Carnegie-Mellon University,"Comp/IS/Eng - Artificial Intelligence (including Robotics, Computer Vision and H",2011,mention
University of New Mexico,Vanderbilt University,Life Sciences - Evolutionary Biology,2011,mention
Brown University,Georgetown University,Life Sciences - Neurosciences,2011,mention
University of Pittsburgh,Georgia Institute of Technology,Engineering - Mechanical,2011,mention
San Jose State University,University of California-Santa Cruz,Life Sciences - Biochemistry,2011,mention
UNIVERSITY OF CALIFORNIA BERKELEY,University of Florida,Psychology - Social,2011,mention
Harvard University,Stanford University,Physics and Astronomy - Condensed Matter Physics,2011,mention
Scripps College,University of Washington,Life Sciences - Molecular Biology,2011,mention
University of Pennsylvania,UNIVERSITY OF CALIFORNIA BERKELEY,Psychology - Cognitive Neuroscience,2011,mention
Swarthmore College,Duke University,Life Sciences - Ecology,2011,mention
Rutgers University New Brunswick,Yale University,Physics and Astronomy - Particle Physics,2011,mention
Massachusetts Institute of Technology,University of Pennsylvania,Engineering - Materials,2011,mention
Stanford University,Stanford University,Social Sciences - Economics (except Business Administration),2011,mention
University of California-Los Angeles,University of California-Berkeley,Life Sciences - Neurosciences,2011,mention
Texas Lutheran College,Texas Lutheran College,Engineering - Civil Engineering,2011,mention
CORNELL UNIVERSITY,Columbia University,Engineering - Biomedical,2011,mention
University of Maryland,Georgia Institute of Technology,Engineering - Bioengineering,2011,mention
Massachusetts Institute of Technology,Harvard University,Life Sciences - other (specify) - Systems Biology,2011,mention
Duke University,Harvard University,Life Sciences - Biochemistry,2011,mention
University of Portland,CORNELL UNIVERSITY INC,Engineering - Mechanical,2011,mention
Tulane University,University of Texas at Austin,Engineering - Biomedical,2011,mention
University of Wisconsin-River Falls,Princeton University,Engineering - Aeronautical and Aerospace,2011,mention
Wellesley College,Texas A&M University Main Campus,Life Sciences - Forestry,2011,mention
Florida State University,Florida State University,Engineering - Electrical and Electronic,2011,mention
Embry-Riddle Aeronautical University,University of Colorado at Boulder,Engineering - Aeronautical and Aerospace,2011,mention
James Madison University,University of Wisconsin-Madison,Life Sciences - Molecular Biology,2011,mention
University of Washington,University of Connecticut,Social Sciences - Medical Anthropology,2011,mention
New York University,University of Notre Dame,Social Sciences - Political Science,2011,mention
Colgate University,University of Washington,Life Sciences - Microbiology,2011,mention
Stanford University,Stanford University,Psychology - Computational Psychology,2011,mention
Washington University,New York University,Social Sciences - Cultural Anthropology,2011,mention
CUNY Brooklyn College,Columbia University,"Comp/IS/Eng - Artificial Intelligence (including Robotics, Computer Vision and H",2011,mention
Sarah Lawrence College,University of California-Berkeley,"Social Sciences - other (specify) - Geography, Natural Resources, Water Manageme",2011,mention
Brigham Young University,University of California-Davis,Life Sciences - Microbiology,2011,mention
Northwestern University,College of William and Mary,Life Sciences - Immunology,2011,mention
University of Alaska Anchorage Campus,Arizona State University,Psychology - Physiological,2011,mention
Oregon State University,Oregon State University,Life Sciences - Soil Science,2011,mention
University of Texas at Austin,Georgia Institute of Technology,Engineering - Biomedical,2011,mention
Duke University,Harvard University,Chemistry - other (specify) - Chemical Biology,2011,mention
National Taiwan University,Duke University,Life Sciences - Evolutionary Biology,2011,mention
University of Illinois at Urbana-Champaign,Stanford University,Engineering - Electrical and Electronic,2011,mention
Duke University,Duke University,Engineering - Materials,2011,mention
University of California-Berkeley,Undecided,Life Sciences - Environmental Sciences,2011,mention
University of California-Berkeley,University of California-San Francisco,Chemistry - Bio-organic,2011,mention
New College of Florida,Massachusetts Institute of Technology,Chemistry - Inorganic,2011,mention
Massachusetts Institute of Technology,Massachusetts Institute of Technology,Social Sciences - Economics (except Business Administration),2011,mention
Northwestern University,Harvard University,Life Sciences - Evolutionary Biology,2011,mention
College of Wooster,Oregon State University,Life Sciences - Entomology,2011,mention
William Marsh Rice University,William Marsh Rice University,Comp/IS/Eng - Computer Systems Design (including Signal Processing),2011,mention
University of Notre Dame,Duke University,Life Sciences - Cell Biology,2011,mention
University of Chicago,Columbia University,Life Sciences - Ecology,2011,mention
Northwestern University,University of California-Santa Barbara,Engineering - Materials,2011,mention
Harvard University,Harvard University,Social Sciences - Urban and Regional Planning,2011,mention
California Institute of Technology,California Institute of Technology,Mathematical Sciences - Analysis,2011,mention
Massachusetts Institute of Technology,Undecided,Mathematical Sciences - Applications of Mathematics (including Biometrics and Bi,2011,mention
University of Washington,Undecided,Engineering - Biomedical,2011,mention
Wabash College,Wabash College,Chemistry - Organic,2011,mention
University of South Carolina at Columbia,University of South Carolina at Columbia,Chemistry - Bio-organic,2011,mention
Bowling Green State University,University of Wisconsin-Madison,Geosciences - Paleontology,2011,mention
Cornell University,University of California-Riverside,Geosciences - Geophysics,2011,mention
Washington University,UNIVERSITY OF CALIFORNIA BERKELEY,Chemistry - Inorganic,2011,mention
CORNELL UNIVERSITY,CORNELL UNIVERSITY,Engineering - Mechanical,2011,mention
UNIVERSITY OF MICHIGAN,Northwestern University,Social Sciences - Communications,2011,mention
"UNIVERSITY OF CALIFORNIA, SAN DIEGO","UNIVERSITY OF CALIFORNIA, SAN DIEGO",Engineering - Civil Engineering,2011,mention
UNIVERSITY OF CALIFORNIA BERKELEY,UNIVERSITY OF CALIFORNIA BERKELEY,Engineering - Mechanical,2011,mention
University of California-Berkeley,University of California-Berkeley,Chemistry - Materials,2011,mention
Massachusetts Institute of Technology,Undecided,Chemistry - Organic,2011,mention
CUNY City College,CUNY City College,Engineering - Chemical Engineering,2011,mention
Florida International University,Florida International University,Comp/IS/Eng - Computer Systems Design (including Signal Processing),2011,mention
University of Michigan Ann Arbor,University of Michigan Ann Arbor,Engineering - Civil Engineering,2011,mention
Rutgers University New Brunswick,Rutgers University New Brunswick,Physics and Astronomy - Condensed Matter Physics,2011,mention
Carnegie-Mellon University,University of California-Riverside,Engineering - Bioengineering,2011,mention
University of Wisconsin-Eau Claire,University of Wisconsin-Madison,Social Sciences - Public Policy,2011,mention
Northeastern University,William Marsh Rice University,Social Sciences - Cultural Anthropology,2011,mention
Massachusetts Institute of Technology,Massachusetts Institute of Technology,Engineering - Mechanical,2011,mention
University of Minnesota-Twin Cities,University of Minnesota-Twin Cities,Comp/IS/Eng - Computer Science - Theoretical Foundations,2011,mention
MIAMI UNIVERSITY,OKLAHOMA STATE UNIVERSITY,Life Sciences - Botany (including Plant Physiology),2011,mention
Stanford University,Ecole Normale Superieure,Psychology - Developmental,2011,mention
University of California-Santa Barbara,University of California-Davis,Life Sciences - Ecology,2011,mention
Northwestern University,Northwestern University,Engineering - Mechanical,2011,mention
University of California - Merced,Colorado State University,Life Sciences - Evolutionary Biology,2011,mention
San Francisco State University,University of California-San Diego,Life Sciences - Biophysics,2011,mention
Williams College,Northwestern University,Chemistry - Physical,2011,mention
New Mexico State University,Stanford University School of Medicine,Life Sciences - Immunology,2011,mention
Grinnell College,University of Wyoming,Life Sciences - Ecology,2011,mention
Saint Louis University,Brown University,Psychology - other (specify) - Behavioral Neuroscience,2011,mention
Queen's University,Columbia University,Life Sciences - Neurosciences,2011,mention
Reed College,William Marsh Rice University,Social Sciences - Cultural Anthropology,2011,mention
Georgia Institute of Technology,Georgia Institute of Technology,Mathematical Sciences - Algebra or Number Theory,2011,mention
Georgia Institute of Technology,Georgia Institute of Technology,Engineering - Electrical and Electronic,2011,mention
Pennsylvania State Univ University Park,Pennsylvania State Univ University Park,Engineering - Aeronautical and Aerospace,2011,mention
California State University-Fresno Foundation,University of California Riverside Foundation,Life Sciences - Agronomy,2011,mention
Vassar College,Northwestern University,Engineering - Industrial,2011,mention
University of Texas at Austin,University of Texas at Austin,Social Sciences - Physical Anthropology,2011,mention
Antioch University,University of Georgia,Life Sciences - Ecology,2011,mention
Cornell University,Stanford University,Engineering - Aeronautical and Aerospace,2011,mention
University of Chicago,Undecided,Social Sciences - Sociology  (except Social Work),2011,mention
University of Washington,Cornell University,Psychology - other (specify) - Behavioral Neuroscience,2011,mention
Brigham Young University,Undecided,Life Sciences - Soil Science,2011,mention
Michigan State University,Michigan State University,Engineering - Materials,2011,mention
University of Washington,Georgia Institute of Technology,Engineering - Biomedical,2011,mention
Ohio University,Ohio University,Life Sciences - Animal Behavior,2011,mention
CUNY City College,CUNY City College,Engineering - Chemical Engineering,2011,mention
CORNELL UNIVERSITY,University of Colorado at Boulder,Engineering - Chemical Engineering,2011,mention
UNIVERSITY OF MICHIGAN,Undecided,Psychology - Cognitive Neuroscience,2011,mention
Davidson College,Emory University,Chemistry - Organic,2011,mention
Brigham Young University,Georgia Institute of Technology,Engineering - Civil Engineering,2011,mention
Carleton College,University of California-Davis,Geosciences - Geology,2011,mention
Saint Olaf College,Undecided,Life Sciences - Ecosystem Ecology,2011,mention
Clarkson University,University of California-Berkeley,Engineering - Mechanical,2011,mention
Carleton College,Northwestern University,Chemistry - Theoretical,2011,mention
University of Minnesota-Twin Cities,University of Wisconsin-Madison,Engineering - Civil Engineering,2011,mention
University of Cambridge,University of Arizona,Social Sciences - Medical Anthropology,2011,mention
University of Missouri-Columbia,University of Georgia,Life Sciences - Ecology,2011,mention
College of William and Mary,Princeton University,Life Sciences - Microbiology,2011,mention
UNIVERSITY OF ILLINOIS,UNIVERSITY OF ILLINOIS,Mathematical Sciences - Topology,2011,mention
University of Michigan Ann Arbor,University of Michigan Ann Arbor,Engineering - Chemical Engineering,2011,mention
Emory University,Emory University,Life Sciences - Neurosciences,2011,mention
University of Pennsylvania,Oregon State University,Life Sciences - Fish and Wildlife,2011,mention
BRYN MAWR COLLEGE,University of Virginia Main Campus,Life Sciences - Ecology,2011,mention
University of Illinois at Urbana-Champaign,University of California-Santa Barbara,Engineering - Materials,2011,mention
University of Notre Dame,University of California-Irvine,Social Sciences - Cultural Anthropology,2011,mention
California Institute of Technology,Massachusetts Institute of Technology,Life Sciences - Neurosciences,2011,mention
Stanford University,University of Washington,Geosciences - Paleoclimate,2011,mention
University of New Mexico,Texas A&M University Main Campus,Comp/IS/Eng - Scientific Computing and Informatics,2011,mention
Yale University,Yale University,Engineering - Electrical and Electronic,2011,mention
Georgetown University,Undecided,Social Sciences - Economics (except Business Administration),2011,mention
Northern Illinois University,Georgia Institute of Technology,Engineering - Mechanical,2011,mention
California Polytechnic State University,University of California-Santa Barbara,Life Sciences - Biochemistry,2011,mention
Georgia Institute of Technology,Georgia Institute of Technology,Engineering - Nuclear,2011,mention
Ohio Wesleyan University,University of Maryland Baltimore County,Life Sciences - Evolutionary Biology,2011,mention
Catawba College,Catawba College,Engineering - Chemical Engineering,2011,mention
UNIVERSITY OF CALIFORNIA BERKELEY,University of Illinois at Urbana-Champaign,Life Sciences - Biophysics,2011,mention
University of Pennsylvania,University of California-San Francisco,Life Sciences - Neurosciences,2011,mention
North Carolina State University,North Carolina State University,Engineering - Civil Engineering,2011,mention
Washington University,University of Minnesota-Twin Cities,Engineering - Biomedical,2011,mention
DePaul University,Undecided,Social Sciences - Linguistic Anthropology,2011,mention
University of Oregon Eugene,University of Wisconsin-Madison,Chemistry - Organic,2011,mention
University of Delaware,University of Notre Dame,Engineering - Mechanical,2011,mention
University of Pennsylvania,University of Pennsylvania,Engineering - Electrical and Electronic,2011,mention
University of California-Santa Barbara,Harvard University,Physics and Astronomy - other (specify) - Interface of liquids and solids,2011,mention
Rensselaer Polytechnic Institute,Undecided,Engineering - Aeronautical and Aerospace,2011,mention
University of Connecticut,University of Connecticut,Engineering - Mechanical,2011,mention
Clemson University,Clemson University,Engineering - Civil Engineering,2011,mention
Lebanon Valley College,University of Delaware,Chemistry - Organic,2011,mention
University of Washington,Stanford University,Life Sciences - Genetics,2011,mention
Dartmouth College,Stanford University,Engineering - Bioengineering,2011,mention
"UNIVERSITY OF CALIFORNIA, SAN DIEGO",New York University Medical Center,Life Sciences - Neurosciences,2011,mention
University of Delaware,University of Delaware,Engineering - Chemical Engineering,2011,mention
Cornell University,Undecided,Life Sciences - Animal Behavior,2011,mention
Purdue University,Purdue University,Life Sciences - Environmental Sciences,2011,mention
Texas A&M University Main Campus,Texas A&M University Main Campus,Life Sciences - Genetics,2011,mention
University of Florida,University of Georgia,Life Sciences - Evolutionary Biology,2011,mention
Vassar College,San Diego State University Foundation,Life Sciences - Evolutionary Biology,2011,mention
UNIVERSITY OF CALIFORNIA BERKELEY,Massachusetts Institute of Technology,Social Sciences - Linguistics,2011,mention
Boston University - College of Arts and Sciences,Purdue University,Chemistry - Inorganic,2011,mention
University of Georgia,Stanford University,Engineering - Environmental,2011,mention
University of California-Santa Barbara,University of California-Irvine,Life Sciences - Ecology,2011,mention
University of Florida,University of Florida,Chemistry - Physical,2011,mention
Rochester Institute of Tech,Undecided,Comp/IS/Eng - Computer Science - Languages and Systems,2011,mention
Oregon State University,Oregon State University,Life Sciences - Entomology,2011,mention
California Polytechnic State University,University of California-Davis,Life Sciences - Entomology,2011,mention
University of Delaware,Georgia Institute of Technology,Engineering - Civil Engineering,2011,mention
Ohio University,University of California-Los Angeles,Engineering - Biomedical,2011,mention
University of Florida,University of Texas at Austin,Engineering - Aeronautical and Aerospace,2011,mention
Colorado College,University of Pittsburgh,Social Sciences - Philosophy of Science,2011,mention
Carnegie-Mellon University,Yale University,Life Sciences - Genetics,2011,mention
Florida State University,University of Illinois at Urbana-Champaign,Chemistry - Analytical,2011,mention
University of Alabama Tuscaloosa,University of Alabama Tuscaloosa,Chemistry - other (specify) - Ionic Liquids,2011,mention
University of New Mexico,Northwestern University,Engineering - Bioengineering,2011,mention
Duke University,University of Alabama at Birmingham,Life Sciences - Marine Biology,2011,mention
Pomona College,University of Alaska Anchorage Campus,Life Sciences - Biological Oceanography,2011,mention
University of California-Santa Cruz,Undecided,Life Sciences - Ecology,2011,mention
North Carolina State University,Colorado State University,Geosciences - Mesoscale Dynamic Meteorology,2011,mention
University of Pennsylvania,University of Pennsylvania,Engineering - Electrical and Electronic,2011,mention
Boston University,University of Illinois at Urbana-Champaign,Life Sciences - Entomology,2011,mention
New College of Florida,Louisiana State University & Agricultural and Mechanical College,Mathematical Sciences - Algebra or Number Theory,2011,mention
Columbia University,University of California-Berkeley,Mathematical Sciences - Geometry,2011,mention
University of Delaware,University of Illinois at Urbana-Champaign,Engineering - Electrical and Electronic,2011,mention
PRINCETON UNIVERSITY,Massachusetts Institute of Technology,Life Sciences - Cell Biology,2011,mention
Washington State University,University of Idaho,Social Sciences - Linguistics,2011,mention
University of Texas at Austin,Undecided,Engineering - Energy,2011,mention
Stanford University,Stanford University,Life Sciences - Biological Oceanography,2011,mention
Loyola Marymount University,Loyola Marymount University,Geosciences - Physical Oceanography,2011,mention
John Carroll University,Duke University,Social Sciences - Political Science,2011,mention
California State University-Long Beach,University of Florida,Chemistry - Physical,2011,mention
University of California-Los Angeles,Undecided,Physics and Astronomy - Astronomy,2011,mention
Bowling Green State University,University of Kentucky,Life Sciences - Biochemistry,2011,mention
Missouri University of Science and Technology,Missouri University of Science and Technology,Engineering - Aeronautical and Aerospace,2011,mention
UCLA-HIGHER EDUCATION RESEARCH INSTITUTE,UCLA-HIGHER EDUCATION RESEARCH INSTITUTE,Comp/IS/Eng - Computer Architecture and Grids,2011,mention
University of New Hampshire,Undecided,Psychology - Cognitive Neuroscience,2011,mention
William Marsh Rice University,Massachusetts Institute of Technology,Life Sciences - Neurosciences,2011,mention
University of New Hampshire,Cornell University,Engineering - Mechanical,2011,mention
